Month_encoded,Day_of_Week_encoded,Is_Weekend_encoded,Order_Minute,Academic_Period_encoded,Slot_Morning,Slot_Afternoon,Slot_Evening,Slot_Dinner,Weather_Dry_Day,Weather_Light_Drizzle,Weather_Heavy_Rain,Weather_Clear_After_Rain,Temperature_°C,Daily_Footfall_Customers,Seg_College,Seg_Professional,Seg_Couple_Group,Seg_Family,Category_encoded,Price_Tier_encoded,Base_Price_₹,Is_Vegetarian_encoded,Elasticity_Coefficient,Pricing_Segment_encoded,Quantity_Units
0,2,0,941,0,0,0,1,0,0,0,0,1,31.2,65,0,0,1,0,4,1,200,1,26.6667,2,1
0,2,0,941,0,0,0,1,0,0,0,0,1,31.2,65,0,0,1,0,19,1,250,0,0.0,1,2
0,2,0,941,0,0,0,1,0,0,0,0,1,31.2,65,0,0,1,0,19,1,285,0,8.8889,0,1
0,2,0,1232,0,0,0,0,1,0,0,0,1,31.2,65,0,0,1,0,6,1,225,1,80.0,0,1
0,2,0,1232,0,0,0,0,1,0,0,0,1,31.2,65,0,0,1,0,1,2,589,0,33.3333,0,1
0,2,0,1232,0,0,0,0,1,0,0,0,1,31.2,65,0,0,1,0,21,0,179,1,3.3333,2,1
0,2,0,955,0,0,0,1,0,0,0,0,1,31.2,65,0,1,0,0,9,0,150,1,0.0,3,1
0,2,0,955,0,0,0,1,0,0,0,0,1,31.2,65,0,1,0,0,19,0,159,0,2.5,2,2
0,2,0,955,0,0,0,1,0,0,0,0,1,31.2,65,0,1,0,0,19,1,285,0,8.8889,0,1
0,2,0,955,0,0,0,1,0,0,0,0,1,31.2,65,0,1,0,0,19,1,350,0,13.3333,0,1
0,2,0,1295,0,0,0,0,1,0,0,0,1,31.2,65,0,0,1,0,15,1,385,1,33.3333,0,1
0,2,0,1295,0,0,0,0,1,0,0,0,1,31.2,65,0,0,1,0,20,1,285,1,0.0,1,1
0,2,0,1093,0,0,0,1,0,0,0,0,1,31.2,65,1,0,0,0,19,1,220,0,21.6667,0,1
